iteration,query1,query2,query3,query4,query5,query6,query7,query8,query9,query10,query11
#17,0.386512,0.258427,0.263075,0.25045,0.012416,865.730333,165.261171,182.004286,179.953405,507.377879,0.422036
#18,0.518309,1.322018,0.33161799999999997,0.29109500000000005,0.033030000000000004,864.808631,162.773411,189.93185,187.492294,486.27921,0.421666
#19,0.376495,0.26984199999999997,0.282138,0.25257599999999997,0.023143,869.646037,170.260432,183.368769,180.086756,484.94141,0.424027
#20,0.402806,0.28607499999999997,0.322279,0.261577,0.043042000000000004,891.260454,170.007345,185.524037,188.934693,512.592223,0.430044
#21,0.42441199999999996,0.306849,0.265762,0.255629,0.015563,864.330035,160.490722,181.561438,180.833092,491.448795,0.444877
#22,0.383407,0.27264,0.29258999999999996,0.25668799999999997,0.03295,847.142527,158.43104,179.543318,183.208667,483.077413,0.401831
#23,0.3753,0.27864,0.264544,0.23288999999999999,0.026661999999999998,857.690478,163.000703,180.805792,182.571593,484.627452,0.40927199999999997
#24,0.412751,0.294491,0.277665,0.240207,0.014884999999999999,851.439005,161.276353,181.420057,179.371633,483.072131,0.420783
#25,0.376322,0.265726,0.257926,0.232338,0.014723,905.170401,171.080188,180.064268,183.929215,490.711144,0.39813600000000005
#26,0.7844220000000001,0.29944400000000004,0.285174,0.289047,0.015685,905.715037,164.61984,179.549144,177.602069,487.74744,0.475492
#27,0.415358,0.290067,0.255469,0.253588,0.022119,856.593832,167.418601,181.141209,179.425847,502.742529,0.39643700000000004
#28,0.36611,0.252921,0.256507,0.253591,0.011897999999999999,909.87988,166.730612,178.559899,178.534305,485.131587,0.393082
#29,0.386941,0.262686,0.264274,0.255785,0.01575,854.592792,162.9807,181.089355,186.193224,493.873761,2.304375
#30,0.382138,0.266226,0.268874,0.25913600000000003,0.25721499999999997,849.045077,168.858885,180.328209,183.957567,490.150228,0.38966300000000004
#31,0.451675,0.277149,0.266883,0.258806,0.014794,856.990754,166.150299,180.13811,181.137883,498.100702,0.422814
#32,0.408395,0.327404,0.290632,0.268018,0.047548,863.454616,163.18663,182.137088,186.72932,528.450118,0.429438
#33,0.382687,0.314861,0.268712,0.267276,0.03728,854.405223,163.254682,180.622087,180.861131,481.720947,0.405619
#34,0.379239,0.264092,0.263657,0.25577500000000003,0.015493999999999999,920.06813,168.582325,183.193513,182.02277,529.887087,0.40026799999999996
#35,2.645006,0.29668900000000004,0.270973,0.2631,0.016151,912.132559,177.589459,192.27882,181.532918,493.257502,0.409677
#36,0.385786,0.27701299999999995,0.265945,0.246192,0.0193,883.278451,162.152213,180.374561,180.570263,493.162652,0.39672399999999997
#37,0.456732,0.390621,0.287794,0.284129,0.020464,851.628023,163.201913,181.088294,180.572116,489.118735,0.41887599999999997
#38,0.402671,0.269718,0.277735,0.257757,0.011856,853.159256,163.185877,189.46033,190.767524,487.89309,0.959979
#39,0.379652,0.264562,0.272323,0.25523599999999996,0.014743000000000001,865.796148,168.088665,183.853093,184.50253,492.362721,2.213974
#40,0.39949900000000005,0.304027,0.283885,0.261152,0.03047,859.633868,167.437285,181.205264,178.255227,499.172543,0.411332
#41,0.398994,0.281423,0.243758,0.23355199999999998,0.013326000000000001,874.451751,167.442172,182.243877,179.690493,481.89241,0.40310700000000005
#42,0.423016,0.260255,0.25582499999999997,0.25339500000000004,0.012231,893.97921,167.75369,181.356116,181.892355,507.403366,1.090391
#43,0.424861,0.29713999999999996,0.28366,0.27328800000000003,0.052355,899.388207,164.268319,179.072805,177.274641,492.462936,0.39888999999999997
#44,0.392756,0.262699,0.26370499999999997,0.25886200000000004,0.015974,881.407327,162.971327,182.415087,183.596363,484.051273,1.641252
#45,0.40912200000000004,0.325392,0.271584,0.258987,0.050114,901.028265,168.688568,185.138005,184.134361,491.875303,0.41787
#46,0.399997,0.31148899999999996,0.275872,0.26113400000000003,0.026595,878.723642,166.480352,181.180515,180.190862,491.434102,0.401608
#47,0.851111,0.285842,0.260683,0.27990699999999996,0.015093,872.948316,168.97705,188.477227,181.013581,495.47541,0.433888
#48,0.45164499999999996,0.328042,0.273846,0.239994,0.042217,859.629016,169.343661,182.627636,181.139393,508.919213,0.412509
#49,0.426969,0.30961900000000003,0.299661,0.265812,0.031664000000000005,871.193904,162.000335,178.945745,181.723265,484.68771,0.424827
